,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
537,06FCvd7rrRcF3DdvWH5Isp,LUST.,DAMN.,Kendrick Lamar,2017-04-14,307880,67,0.678,0.193,0.562,0.0,0.104,-9.197,0.508,94.241,4
538,5xlLG6RthtyXShVhGA3ojN,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,2023-05-19,260962,75,0.788,0.011,0.694,1.48e-05,0.142,-5.308,0.0372,126.042,4
539,2lD6AoA8qf2t4Dkf2TcmNK,Rigamortus,Section.80,Kendrick Lamar,2011-07-02,168591,66,0.52,0.24,0.807,0.00257,0.199,-6.281,0.409,178.012,4
540,5nkUIVKqOqdpB6ApKgEMkv,Stay Ready (What A Life),Sail Out,Jhené Aiko,2013-01-01,382760,74,0.347,0.455,0.493,0.00366,0.127,-11.548,0.29,82.887,4
541,1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,DAMN.,Kendrick Lamar,2017-04-14,208733,73,0.748,0.204,0.705,0.0,0.246,-4.547,0.485,189.891,4
542,2LTlO3NuNVN70lp2ZbVswF,FEEL.,DAMN.,Kendrick Lamar,2017-04-14,214826,70,0.746,0.137,0.798,0.0,0.139,-8.382,0.349,109.968,4
543,28qA8y1sz0FTuSapsCxNOG,Father Time (feat. Sampha),Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,222497,75,0.514,0.181,0.779,0.0,0.099,-4.365,0.344,152.869,4
544,77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,211440,72,0.735,0.0762,0.677,2.17e-05,0.111,-4.979,0.093,100.584,4
545,1REVvAphiSTJyKQ1fDpHa4,Purple Hearts,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,329295,71,0.567,0.167,0.824,2.65e-06,0.149,-6.973,0.296,138.202,4
546,6huNf4dutXRjJyGn7f5BPS,Pray For Me,The Highlights,The Weeknd,2021-02-05,211420,81,0.732,0.0867,0.678,2.41e-05,0.112,-4.977,0.0886,100.626,4
547,5CRHxhQOzuj5iPASXodlmm,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-13,213400,52,0.8,0.264,0.585,0.0,0.159,-7.343,0.0921,126.055,4
548,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,Starboy,The Weeknd,2016-11-25,231360,75,0.542,0.147,0.72,0.0,0.348,-5.136,0.0628,149.828,4
549,31Yebmn7gDvxc0yjRV8M5t,Cartoon,"Mo Thugs Records Presents: West Coast Bangers, Vol. 2",Various Artists,2013-07-12,398207,51,0.671,0.0777,0.301,0.0,0.216,-21.447,0.331,113.818,4
550,1yvMUkIOTeUNtNWlWRgANS,Unstoppable,This Is Acting (Deluxe Version),Sia,2016-10-21,217746,83,0.468,0.112,0.779,0.000373,0.101,-4.839,0.0779,173.799,4
551,1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012-06-22,232946,80,0.608,0.0991,0.86,0.0,0.262,-5.324,0.0554,127.075,4
552,2s1sdSqGcKxpPr5lCl7jAV,Chandelier,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-04,216120,72,0.399,0.0197,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5
553,0LFQKuBU6GS3ma7eymkuZu,Titanium,Top Chart Hits from Yesterday & Today,Various Artists,2023-05-19,245040,2,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
554,3S4px9f4lceWdKf0gWciFu,Cheap Thrills,This Is Acting (Deluxe Version),Sia,2016-10-21,211666,72,0.628,0.0472,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
555,4MiibG6uhr5804xW3gemul,Titanium,Awesome Summer Chart Hits,Various Artists,2023-05-19,245040,1,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
556,5S9lfZu1YF8xKkgSsqL2Bd,Elastic Heart,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-04,257200,69,0.421,0.0117,0.791,1.48e-05,0.146,-4.998,0.0496,130.075,4
557,4YbhIcQG5MIFTvQmTWdvLf,Flames,Heartbreak Hits,Various Artists,2023-05-26,195000,1,0.61,0.0722,0.728,8.17e-06,0.0895,-4.347,0.0414,93.959,4
558,6bLopGnirdrilrpdVB6Um1,The Greatest,This Is Acting (Deluxe Version),Sia,2016-10-21,210920,75,0.639,0.0174,0.785,0.00107,0.0512,-6.167,0.174,191.95,4
559,3beA0vnwYVHNOXq8aVwKKP,Titanium,Upbeat Pop 2023,Various Artists,2023-05-26,245040,0,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
560,7uoFMmxln0GPXQ0AcCBXRq,Snowman,Everyday Is Christmas (Deluxe Edition),Sia,2018-11-01,165900,77,0.716,0.483,0.512,0.0,0.0928,-6.257,0.0331,104.957,3
561,6n5pDCEMINXp2DckPagQvs,Titanium,Happy Pride Day 2023,Various Artists,2023-05-26,245040,0,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
562,2ONIJ40u0Attbm3miIIpNO,Cheap Thrills (feat. Sean Paul),This Is Acting (Deluxe Version),Sia,2016-10-21,224493,66,0.592,0.0599,0.788,2.54e-06,0.125,-4.924,0.201,89.949,4
563,3JM2V8VOetlNDbjX0RFizk,Titanium,LGBTQ+ Pop Anthems,Various Artists,2023-05-26,245040,0,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
564,25R5Tdr4K7ENb6umHzdCXn,Alive,This Is Acting (Deluxe Version),Sia,2016-10-21,263520,63,0.508,0.254,0.762,0.000122,0.108,-4.217,0.0489,99.963,4
565,4xigPf2sigSPmuFH3qCelB,"Genius (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,213706,80,0.603,0.0799,0.615,6.72e-05,0.117,-4.931,0.165,158.657,4
566,0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),Nothing but the Beat 2.0,David Guetta,2011-08-24,245040,72,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
567,3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,Icarus Falls,ZAYN,2018-12-14,239000,81,0.259,0.102,0.437,1.32e-06,0.106,-6.589,0.0386,180.042,4
568,6MowG7MRVgPfGlCMsXKMJ2,Bird Set Free,This Is Acting (Deluxe Version),Sia,2016-10-21,252440,66,0.438,0.0115,0.805,0.000667,0.133,-4.284,0.0728,150.174,4
569,2xie0OhRzMjWE1Be82sC0k,Rainbow,My Little Pony: The Movie (Original Motion Picture Soundtrack),My Little Pony,2017-09-22,197026,53,0.555,0.306,0.845,0.0,0.062,-4.033,0.102,81.965,4
570,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn (feat. Sia) - Radio Edit,Dusk Till Dawn (feat. Sia) [Radio Edit],ZAYN,2017-09-07,239000,78,0.259,0.102,0.437,1.32e-06,0.106,-6.589,0.0386,180.042,4
571,4W7uMjg5a9ZqgNZzpY6ekk,Unstoppable,Unstoppable,Sia,2016-01-21,217746,52,0.468,0.112,0.779,0.000373,0.101,-4.839,0.0779,173.799,4
572,6hrgeEo1WQOHVeF8QMv68S,Breathe Me,Colour The Small One,Sia,2005-01-01,274933,49,0.544,0.034,0.63,0.573,0.0961,-7.523,0.0335,120.064,4
573,6dXiWwFrcGieqnoLYzPNp5,Sial,fábula,Mahalini,2023-01-23,243724,88,0.563,0.89,0.431,2.9e-06,0.123,-6.784,0.039,120.014,4
574,1ZreCbCSHpRcvqYpXlxnYC,The Wolf,Bounce Into The Music,SIAMES,2016-08-02,186945,65,0.544,0.000633,0.742,0.000392,0.207,-5.117,0.0283,96.012,4
575,77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),Nothing but the Beat,David Guetta,2011-08-31,245040,62,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,4
576,3DA3FN6eSLalHQvmR5T9Hh,Siad,On The Way,Christopher Edwards,2023-01-17,31633,40,0.633,0.0128,0.693,0.0,0.162,-6.769,0.396,151.363,4
577,1ssmjAYSU5PbmsjLq5yrNH,Never Give Up,"Never Give Up (From ""Lion"" Soundtrack)",Sia,2016-11-18,221986,67,0.568,0.00497,0.936,0.0138,0.12,-2.961,0.053,91.009,4
578,1S1WWTuydW6zljNeHOpZXe,Muddy Feet (feat. Sia),Endless Summer Vacation,Miley Cyrus,2023-03-10,136946,74,0.548,0.076,0.779,0.000494,0.19,-4.737,0.109,172.083,4
579,4S6fv0puLCsfYjyBTPDb9k,Helium,Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,252320,70,0.42,0.551,0.396,0.0,0.0708,-6.678,0.0296,136.849,4
580,3lHJA8NmRjbULK1Dg7Kv4m,Siamese,Siamese,Real Fake Flowers,2022-01-28,215351,41,0.53,0.0324,0.861,0.00932,0.146,-6.111,0.071,92.629,4
581,73Mfgc0HTZeNCoNrDI46sJ,Move Your Body,This Is Acting (Deluxe Version),Sia,2016-10-21,247213,59,0.617,0.00117,0.842,0.261,0.131,-4.062,0.034,127.955,4
582,03xqau0vpaGluycYH8hfNS,Siance,Siance,Valiant,2022-10-12,165668,47,0.774,0.546,0.646,0.0,0.121,-8.254,0.367,99.989,4
583,7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),This Is Acting (Deluxe Version),Sia,2016-10-21,210226,71,0.668,0.0102,0.725,0.000479,0.0561,-6.127,0.266,191.944,4
584,3x6F5xwseHgXIjptORmGAI,Siamese Twins - 2005 Remaster,Pornography,The Cure,1982-05-03,328360,38,0.772,0.000298,0.523,0.795,0.282,-9.788,0.0364,94.194,4
585,5KGTKwOePys7aH4o6EzXEP,I'm Still Here,I'm Still Here,Sia,2018-10-12,241910,60,0.437,0.00697,0.719,3.86e-05,0.0765,-4.569,0.0376,169.976,4
586,5h0Jgt873QtgL6nJRBGfT6,That's Life (feat. Mac Miller & Sia),That's Life (feat. Mac Miller & Sia),88-Keys,2019-06-20,202390,65,0.525,0.24,0.774,1.07e-06,0.495,-4.532,0.241,154.192,4
587,4lJNen4SMTIJMahALc3DcB,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,187026,73,0.69,0.0077,0.714,7.23e-05,0.191,-5.948,0.0338,112.009,4
588,6e1NB8dyguNIENFZ6Tb7PU,Siamese Dream - Broadway Rehearsals Demo,Siamese Dream (Deluxe Edition),The Smashing Pumpkins,1993,378933,39,0.32,8.11e-05,0.872,0.756,0.163,-9.115,0.0726,131.617,4
589,1cWqBSZoUITaSEafRrTqV0,Sia Sefid,Sia Sefid,Haamim,2021-06-04,209475,46,0.643,0.48,0.556,0.0,0.261,-8.289,0.0703,152.068,4
590,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Cheap Thrills (feat. Sean Paul),Sia,2016-02-11,224813,69,0.592,0.0561,0.8,2.01e-06,0.0775,-4.931,0.215,89.972,4
591,5XeIQO9gGkGo54naYVVeJP,Mr. Fear,Bounce Into The Music,SIAMES,2016-08-02,246508,59,0.638,0.0478,0.659,0.000195,0.459,-7.023,0.0277,107.991,4
592,4OLVK3kktkdLPp8dDgoCtb,Angel By The Wings,Angel By The Wings,Sia,2016-12-02,319200,67,0.522,0.294,0.53,5.19e-05,0.0997,-4.812,0.033,104.039,4
593,0EBkBXoktl83CgIqxw4bUZ,Siamese Souls,Self Care,Yours Truly,2020-09-18,262400,39,0.53,0.000173,0.976,0.0,0.117,-2.735,0.076,112.035,4
594,0udoMICxzaUbNUT8EVRq8B,Elastic Heart - Piano Version,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-04,250133,69,0.44,0.903,0.306,0.0,0.0888,-5.403,0.0377,71.021,4
